CNN,STREET,COLOR
23126000,LAKE MERCED,Green
23126000,MIDDLEFIELD,Green
23407000,SANTIAGO,Green
23407000,SUNSET,Green
24555000,MISSION,Green
24555000,SPEAR,Green
26588000,O'FARRELL,Green
26588000,WEBSTER,Green
52197000,PHELAN,Green
52197000,MIDBLOCK AT,Red
52197000,LEE EXTENSION,Green
23919000,06TH ST,Green
23919000,HARRISON,Green
24341000,15TH ST,Green
24341000,SOUTH VAN NESS,Green
26692000,GREENWICH,Green
26692000,VAN NESS,Green
24791000,COLUMBUS,Green
24791000,KEARNY,Red
24791000,PACIFIC,Green
20489000,03RD ST,Green
20489000,CARROLL,Green
25835000,14TH ST,Green
25835000,GUERRERO,Green
23655000,MARIPOSA,Green
23655000,PENNSYLVANIA,Green
23788000,16TH ST,Green
23788000,CONNECTICUT,Green
6436201,GREAT HWY,Green
6436201,VICENTE,Green
20656000,BAYSHORE,Green
20656000,SILVER,Green
23914000,BOARDMAN,Green
23914000,BRYANT,Green
27519000,25TH AVE,Green
27519000,CROSS OVER,Green
27519000,FULTON,Green
25210000,BUSH,Green
25210000,POLK,Green
26527000,LAGUNA,Green
26527000,PINE,Green
24800000,BROADWAY,Green
24800000,FRONT,Green
26796000,CERVANTES,Green
26796000,MARINA,Green
26796000,SCOTT,Green
25918000,GOUGH,Green
25918000,HAYES,Green
26633000,CALIFORNIA,Green
26633000,STEINER,Green
22840000,LAGUNA HONDA,Green
22840000,PORTOLA,Green
26737000,BUCHANAN,Green
26737000,LOMBARD,Green
33105000,CARGO,Green
33105000,MENDELL,Green
24106000,23RD ST,Green
24106000,VALENCIA,Green
22811000,MIRALOMA,Green
22811000,PORTOLA,Red
22811000,YERBA BUENA,Green
24547000,HOWARD,Green
24547000,SPEAR,Green
25703000,17TH ST,Green
25703000,DOLORES,Green
26422000,COLE,Green
26422000,FELL,Green
24468000,GOLDEN GATE,Green
24468000,VAN NESS,Green
12553101,EMBARCADERO,Green
12553101,MIDBLOCK AT,Green
12553101,FERRY BUILDING SB,Green
25577000,BAY,Green
25577000,HYDE,Green
26590000,FILLMORE,Green
26590000,GEARY (NORTH),Green
24693000,CLAY,Green
24693000,FRONT,Green
21396000,GENEVA,Green
21396000,MOSCOW,Green
21396000,SOUTH HILL,Green
24262000,07TH ST,Green
24262000,FOLSOM,Green
25922000,BUCHANAN,Green
25922000,OAK,Green
30768000,GRANT,Green
30768000,MARKET,Green
30768000,O'FARRELL,Green
23597000,BRANNAN,Green
23597000,EMBARCADERO,Green
27587000,04TH AVE,Yellow
27587000,CALIFORNIA,Green
25797000,16TH ST,Green
25797000,SANCHEZ,Green
7990201,FOREST HILL STATION,Green
7990201,LAGUNA HONDA,Green
25481000,MASON,Green
25481000,NORTH POINT,Green
33663000,ALEMANY,Green
33663000,CRESCENT,Green
33663000,PUTNAM,Green
33663000,US I-280 OFF RAMP,Green
25231000,CALIFORNIA,Green
